Response: 30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;
"Response: 25 q'asa (25 x 4 = 100)

Translation:
""Johnqa has 10 hectares of pineapples in Chakrata. He harvested 100 ananas and sold them for 3 kilos of coca leaves. Does Johnqa have any coca left to sell?""

In this example, the speaker is asking about the quantity of coca leaves that Johnqa has after he sold some of his produce. The numbers are given in quipu marks, with each mark representing a different quantity. For example, ""25 q'asa"" represents 25 times 4, or 100 units of the base unit (in this case, ananas).";;
"Response: 2486731988.

This is a message in the Aymara language, which is spoken in Bolivia and Peru. The text appears to be a series of numbers and letters that do not form any recognizable words or phrases. It is possible that this is a random sequence of characters, or it could be a code or cipher that has not been deciphered yet. If you have any information about the meaning of this message, please let me know!";;
Response: 15-20 minutos.;;
Response: 12 dólaresta, 10 dólaresta churikunapaq. Uj tupatsiraqtawna, uj tukuranaktawna, uj tupatsiraqtawna, uj tukuranaktawna, uj tupatsiraqtawna, uj tukuranaktawna, uj tupatsiraqtawna, uj tukuranaktawna, uj tupatsiraqtawna, uj tukuranaktawna, uj tupatsiraqtawna, uj tukuranaktawna, uj tupatsiraqtawna, uj tukuranaktawna, uj tupatsiraqtawna, uj tukuranaktawna, uj tupatsiraqtawna, uj tukuranaktawna, uj tupatsiraqtawna, uj tukuranaktawna, uj tupatsiraqtawna, uj tukuranaktawna, uj tupatsiraqtawna, uj tukuranaktawna, uj tupatsiraqtawna, uj tukuranaktawna, uj tupatsiraqtawna, uj tukuranaktawna, uj tupatsiraqtawna, uj tukuranaktawna, uj tupatsiraqtawna, uj tukuranaktawna, uj tupatsiraqtawna, uj tukuranaktawna, uj tupatsiraqtawna, uj tukuranaktawna, uj tupatsiraqtawna, uj tukuranaktawna, uj tupatsiraqtawna, uj tukuranaktawna, uj tupatsiraqtawna, uj tukuranak;;
"Response:  Charlieqan Dorothymanta kimsa kuti aswan Facebookpi amigosniyoj. Jamesqa tawa kutipi Dorothy jina Facebookpi amigosniyoj. Charlieqa 12 Facebookpi amigokuna kan, ¿hayk'a Facebookpi amigokuna Jamesman tiyan? 

Charlie is asking if there are any other friends of his on Facebook who also know James. He mentions that he has 12 friend requests pending and wants to know if James has any friends on Facebook.";;
"Response: 15-20 minutos.

Translation:
Stevewan Timwan is riding his bike to school and he has been going for 3 miles now. He has covered 440 feet in the last minute and he still has 264 meters left to go until he reaches school. How long will it take him to get there? Let's see... if he keeps going at this pace, he will arrive in 15-20 minutes.";;
Response: 100 soles.;;
Response: 250 x $0.10 = $25 dolareswan.;;
Response: 10 fritaswans chinkaykusqa.;;
"Response: 20.

Translation:
""Kimoqa is a teacher who teaches at the school on Monday, Tuesday, Wednesday, Thursday, and Friday from 8am to 1pm. The students study for 16 weeks per semester. Does Kimoqa have classes on Saturday or Sunday? There are 20 students in his class.""";;
"Response: 40 tʼantata, 20 chʼulla tʼantata, 10 tʼantata ima tʼantata ruwakun. Sapa rollonqa 5 centímetros, each croissant 7 centímetros, each baguette 80 centímetros. Billqa, tukuy tʼantata uj chʼampaman churaspa, ¿maykʼajkamataj chʼampaman churakunman? Chay tapuymanjina, uj númerowan kutichiy. (Translation: ""Billqa, how many loaves of bread do you want to make? You can make 300 small loaves or 120 large ones. Each small loaf is 6 centimeters long and each large loaf is 60 centimeters long. The dough must be rolled out 10 centimeters thick, each croissant is 7 centimeters long, and each baguette is 80 centimeters long."")";;
Response: 360 bananotas necesitanpayk'aq, 800 bananotas necesitanpayk'aq, 160 bananotas necesitanpayk'aq. ¡Hasta luego!;;
"Response: 27 kutita rupayman, 8 kutitaqtiri, 6 kutitasqanchis, 4 kutitanakillas, 3 kutitach'arkis, 2 kutitapuspas, 1 kutitapuskis.

Translation:
Blake and Kelly were playing soccer when they noticed that the ball was moving very fast towards them. They tried to stop it but it was too late. The ball hit Blake in the head and he fell down unconscious. Kelly was shocked and scared, he didn't know what to do. He checked Blake's pulse and found out that he had stopped breathing. He started CPR and after 15 minutes of compressions, Blake woke up. Blake had a concussion and was dizzy, he couldn't stand or walk properly. Kelly helped him sit on the ground and waited for an ambulance to arrive. When the paramedics arrived, they found out that Blake had a fractured skull and a severe concussion. They took him to the hospital where he spent 4 days recovering.

Question: Was Blake okay after the incident?
Answer: Fortunately, Blake is fine now. His injuries were not life-threatening and he only suffered from a concussion and some bruises. He is currently resting at home and will be back to his normal activities soon.";;
Response: 3 x $1.50 = $4.50 + 2 x $4 = $8 + $20 = $32. Kama Raphaelqa tukuy imakunapi gastarqa, kama tukuchiymanchay.;;
Response: 10 t'ikrakunata rikurqan, chayt'ikrakunapi ujyanku. Chaymantataq rikurqan soqta runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta iskay runata, chaymanta is;;
"Response: 20-30 minutos.

Translation: ""The water level in the tank is 5 meters above sea level and it will rise another 7 meters by tomorrow morning. The water will be at its highest point on Wednesday afternoon. If you want to know the exact time of the high tide, please check the tide chart. Time left: 20-30 minutes.""";;
Response: 4-8-7-9-5-3-2. Kama tupaq kama tupaq!;;
Response: 18 dólares.;;
"Response: 20 dólaresniyuq. Kutichiya: 10 dólaresniyuq. Pichus: 5 dólaresniyuq.

Translation:
""Hello! I have a lot of things to sell. I have five cars for sale, three drawings, and a house with land. The price is $4 per dollar. Do you want to buy something? I also have 20 dollars, 10 dollars, or 5 dollars.""";;
Response: 12 x 3 = 36. Qhespaqti: 36 x 35 = 1260 dolares. Chay rikuchinkuna, 1260 - 90 = 1170 dolares. ¡Astawa!;;
Response: 1500 euros, 1090 euros, 157 euros, 74 euros, 102 euros. Total: 3864 euros.;;
"Response: 20-30 minutos.

Translation:
Sandraqa has been teaching for 15 years and currently works at a school in the Andes region of Peru. She is an expert in traditional Andean knowledge and practices, including agriculture, medicine, and spirituality. In this interview, she shares her insights on the importance of preserving indigenous cultures and traditions, as well as the challenges faced by indigenous communities in the modern world.

Question: How do you see the role of indigenous peoples in the modern world?

Answer: As an indigenous person myself, I believe it is crucial that we preserve our cultural traditions and pass them down to future generations. This includes our language, music, dance, and spiritual beliefs. By doing so, we can maintain our identity and ensure that our culture continues to thrive.

However, I also recognize that the modern world presents many challenges for indigenous communities. We face discrimination, marginalization, and exploitation, both historically and today. It is essential that we work towards addressing these issues and advocating for our rights as indigenous peoples.

At the same time, I believe that there are many opportunities for indigenous peoples to contribute to the global community. Our traditional knowledge and practices have much to offer in terms of sustainable development, environmental conservation, and social justice. By sharing our wisdom and collaborating with others, we can help build a more equitable and just society for all.";;
Response:  Kutitipiya, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupaq aywaqpaq, tupaq aywaqpaq. Tupa;;
Response: 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;
Response: 48 km. Puritakuna chaskiya: 32 km. Total: 80 km.;;
Response:  Qullasuyu, chaymantapis 10 dólares, chaypantalones jina, chaychaqueta jina, chaychamisa jina, chaytapuitupa jina, chaytapukun jina, chaytapumatuna jina, chaytapusur jina, chaytapuymatuna jina, chaytapuyn jina.;;
"Response: 25 chakisniyoj, 75 insectos mutantes, 10 invertebrados mutantes.

Jakeq aywa tupai:  Kutchiy taimiti, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama'a tupai, tatama";;
"Response: 100 q'orianos, 50 q'orianos, 25 q'orianos, 10 q'orianos, 5 q'orianos, 2 q'orianos, 1 q'oriano. Kintusi: 100 q'orianos, 50 q'orianos, 25 q'orianos, 10 q'orianos, 5 q'orianos, 2 q'orianos, 1 q'oriano.

Translation: ""Sally Iskayqa, my grandmother Redmanta's sister, passed away today at the age of 76. She was a strong and independent woman who always put her family first. My mother, Sally Four-manta, is devastated by her loss. Sally had 32 children, 8 of whom are still alive. We will miss her dearly.""";;
Response:  Kamaqanchispa, tawaqanchispa, punchakanchispa, wanchanchispa, chaskispa, kawsachispa, k'ark'ispa, k'ill'ispa, k'it'ispa, k'uq'ispa, k'urqu'ispa, k'uch'ispa, k'ux'ispa, k'uy'ispa, k'uz'ispa, k'uq'ispa, k'urqu'ispa, k'uch'ispa, k'ux'ispa, k'uy'ispa, k'uz'ispa, k'uq'ispa, k'urqu'ispa, k'uch'ispa, k'ux'ispa, k'uy'ispa, k'uz'ispa, k'uq'ispa, k'urqu'ispa, k'uch'ispa, k'ux'ispa, k'uy'ispa, k'uz'ispa, k'uq'ispa, k'urqu'ispa, k'uch'ispa, k'ux'ispa, k'uy'ispa, k'uz'ispa, k'uq'ispa, k'urqu'ispa, k'uch'ispa, k'ux'ispa, k'uy'ispa, k'uz'ispa, k'uq'ispa, k'urqu'ispa, k'uch'ispa, k'ux'ispa, k'uy'ispa, k'uz'ispa, k'uq'ispa, k'urqu'ispa, k'uch'ispa, k'ux'ispa, k'uy'ispa, k'uz'ispa, k'uq'ispa, k'urqu'ispa, k'uch'ispa, k'ux'ispa, k'uy'ispa, k'uz'ispa, k'uq'ispa, k'urqu'ispa, k'uch'ispa, k'ux'ispa, k'uy'ispa, k'uz'ispa,;;
Response: 1234567890.;;
Response: 10 dolartakuna, 5 dolartakuna, 2 dolartakuna, 1 dolartaku. Kintusi, sapa uj número de teléfono: 9876543210.;;
"Response: 300 q'anq'a, 150 tupac yana, 70 wanswa, 30 chunchuma, 20 kawsaya, 10 chullunkunmi.

En español, se puede traducir como:

Tapukuy: 240asiáticos runas carqanku, 80 japoneses, wakintaj chinwa runas. Chay chinchay pukllaykunapi 60 waynasunaspa, ¿hay qué sabe chay pukllaykunapi kasharqanku? 
Tapumany jn, uj número no hay. Rikun: 300 q'anq'a, 150 tupac yana, 70 wanswa, 30 chunchuma, 20 kawsaya, 10 chullunkunmi.";;
Response: 1500$, 2000$, 3000$, 4000$, 5000$. Qullasuyu: 1000$, 2000$, 3000$, 4000$, 5000$. Chaytaq: 800$, 1200$, 1600$, 2000$, 2400$. Qollqentarmi: 1000$, 2000$, 3000$, 4000$, 5000$. Qollqentamuna: 1000$, 2000$, 3000$, 4000$, 5000$. Qollqentapakunchis: 1000$, 2000$, 3000$, 4000$, 5000$. Qollqentapakunchi: 1000$, 2000$, 3000$, 4000$, 5000$. Qollqentapakunchit: 1000$, 2000$, 3000$, 4000$, 5000$. Qollqentapakunchita: 1000$, 2000$, 3000$, 4000$, 5000$. Qollqentapakunchitari: 1000$, 2000$, 3000$, 4000$, 5000$. Qollqentapakunchitar: 1000$, 2000$, 3000$, 4000$, 5000$. Qollqentapakunchitas: 1000$, 2000$, 3000$, 4000$, 5000$. Qollqentapakunchitari: 1000$, 2000$, 3000$, 4000$, 5000$. Qollqentapakunchitari: 10;;
Response:  Kuntxiyuq, Mamaqta, Qullasuyu, Llusanakanchis, Challwaqanchis, Wansiqanchis, Yanaqanchis, Pachaqanchis, Suraqanchis, Aymaraqanchis, Uruchichanchis, Qullasuyuq, Kuntxiyuq, Mamaqtaq, Qullasuyuq, Llusanakanchis, Challwaqanchis, Wansiqanchis, Yanaqanchis, Pachaqanchis, Suraqanchis, Aymaraqanchis, Uruchichanchis, Quyllasuyuq, Kuntxiyuq, Mamaqtaq, Qullasuyuq, Llusanakanchis, Challwaqanchis, Wansiqanchis, Yanaqanchis, Pachaqanchis, Suraqanchis, Aymaraqanchis, Uruchichanchis, Quyllasuyuq, Kuntxiyuq, Mamaqtaq, Qullasuyuq, Llusanakanchis, Challwaqanchis, Wansiqanchis, Yanaqanchis, Pachaqanchis, Suraqanchis, Aymaraqanchis, Uruchichanchis, Quyllasuyuq, Kuntxiyuq, Mamaqtaq, Qullasuyuq, Llusanakanchis, Challwaqanchis, Wansiqanchis, Yanaqanchis, Pachaqanchis, Suraqanchis, Aymaraqanchis, Uruchichanchis, Quyllasuyuq, Kuntxiyuq, Mamaqtaq, Qullasuyuq, Llusanakanchis, Challwaqanchis, Wansiqanchis, Yanaqanchis, Pachaqanchis, Suraqanchis, Aymaraqanchis, Uruchichanchis, Quyllasuyuq, Kuntxiyuq, Mamaqtaq, Qullas;;
Response: 24 dólares. Kutitipi: 16 dólares. Yachak: 8 dólares. Qullqanchispa: 4 dólares. Total: 52 dólares.;;
Response:  Chay atipaqqa, chay taqpakunchi, chay tukuranmi, chay sach'aqtaq, chay yas'aqtaq, chay k'it'aqtaq, chay p'it'aqtaq, chay t'it'aqtaq, chay k'it'aqtaq, chay p'it'aqtaq, chay t'it'aqtaq, chay k'it'aqtaq, chay p'it'aqtaq, chay t'it'aqtaq, chay k'it'aqtaq, chay p'it'aqtaq, chay t'it'aqtaq, chay k'it'aqtaq, chay p'it'aqtaq, chay t'it'aqtaq, chay k'it'aqtaq, chay p'it'aqtaq, chay t'it'aqtaq, chay k'it'aqtaq, chay p'it'aqtaq, chay t'it'aqtaq, chay k'it'aqtaq, chay p'it'aqtaq, chay t'it'aqtaq, chay k'it'aqtaq, chay p'it'aqtaq, chay t'it'aqtaq, chay k'it'aqtaq, chay p'it'aqtaq, chay t'it'aqtaq, chay k'it'aqtaq, chay p'it'aqtaq, chay t'it'aqtaq, chay k'it'aqtaq, chay p'it'aqtaq, chay t'it'aqtaq, chay k'it'aqtaq, chay p'it'aqtaq, chay t'it'aqtaq, chay k'it'aqtaq, chay p'it'aqtaq, chay t';;
"Response: 100 lirios de rosa, 30 lirios de azul, 40 lirios de amarillo, 20 lirios de verde, 10 lirios de naranja, 5 lirios de blanco. Kutitamaxxima: 50 lirios de rosa, 20 lirios de azul, 30 lirios de amarillo, 10 lirios de verde, 5 lirios de naranja, 10 lirios de blanco.

Translation:
Sandra is a skilled florist who creates beautiful arrangements for special occasions. She has 20 years of experience and can make any arrangement you desire. Today she is offering a discount on her services - 20% off for the first 5 customers who book an appointment. Don't miss out!

The text includes some common Andean Quechua phrases and words that are used in everyday language but may be unfamiliar to non-native speakers. Here are some explanations and translations:

* ""Tapukuy"" means ""discount"" or ""sale"".
* ""Sandrasutiyoj"" is the possessive form of the name Sandra, meaning ""Sandra's"".
* ""Fredpa"" is a common term of address used towards men, similar to ""dude"" or ""bro"".
* ""Juntʼasqan"" means ""let's go"", ""let's do it"".
* ""Pʼachata"" means ""beautiful"", ""nice"".
* ""Mana"" is a common word used to indicate possession or belonging, similar to ""my"" or ""your"".
* ""Q'illuchakunata"" means ""I will give you"", ""I will offer you"".
* ""Allin"" is a term used to indicate agreement or confirmation, similar to ""okay"" or ""agreed"".
* ""Vendedorta"" means ""vendors"", ""people who sell things"".
* ""Rosa"" means ""rose"", ""flower"".
* ""Liriosta"" means ""lirio"", ""small flower"".
* ""Kutiti"" means ""how much"", ""what does it cost""?
* """;;
Response: 24-18-7-19-26-12-10-22-15-20-17-14-16-13-11-8-5-2-1-4-3-6-7-9-18-21-23-25-27-29-30-31-32-33-34-35-36-37-38-39-40-41-42-43-44-45-46-47-48-49-50-51-52-53-54-55-56-57-58-59-60-61-62-63-64-65-66-67-68-69-70-71-72-73-74-75-76-77-78-79-80-81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100-101-102-103-104-105-106-107-108-109-110-111-112-113-114-115-116-117-118-119-120-121-122-123-124-125-126-127-128-129-130-131-132-133-134-135-136-137-138-139-140-141-142-143-144-145-146-147-148-149-150-151-15;;
Response: 20 segundos.;;
Response: 100.;;
Response:  Kutchiy tupaq aylluymanta, kutchiy tupaq aylluymanta. Jennawa tupaq aylluymanta, kutchiy tupaq aylluymanta. Jennawa tupaq aylluymanta, kutchiy tupaq aylluymanta. Jennawa tupaq aylluymanta, kutchiy tupaq aylluymanta. Jennawa tupaq aylluymanta, kutchiy tupaq aylluymanta. Jennawa tupaq aylluymanta, kutchiy tupaq aylluymanta. Jennawa tupaq aylluymanta, kutchiy tupaq aylluymanta. Jennawa tupaq aylluymanta, kutchiy tupaq aylluymanta. Jennawa tupaq aylluymanta, kutchiy tupaq aylluymanta. Jennawa tupaq aylluymanta, kutchiy tupaq aylluymanta. Jennawa tupaq aylluymanta, kutchiy tupaq aylluymanta. Jennawa tupaq aylluymanta, kutchiy tupaq aylluymanta. Jennawa tupaq aylluymanta, kutchiy tupaq aylluymanta. Jennawa tupaq aylluymanta, kutchiy tupaq aylluymanta. Jennawa tupaq aylluymanta, kutchiy tupaq aylluymanta. Jennawa tupaq aylluymanta, kutchiy tupaq aylluymanta. Jennawa tupaq aylluymanta, kutchiy tupaq aylluymanta. Jennawa tupaq aylluymanta, kutchiy tupaq aylluymanta. Jennawa tupaq aylluymanta,;;
Response: 48 t’aqas ch’askasqatipis, 96 t’aqas ch’askasqakunapi, 192 t’aqas ch’askasqachaykunapi, 36 t’aqas ch’askasqamach’aqwaykunapi, 72 t’aqas ch’askasqasratokunaqi, 144 t’aqas ch’askasqahamsterkunapi, 288 t’aqas ch’askasqachantapis, 576 t’aqas ch’askasqakutichiy.;;
Response: 450 dolartas. Kamaq: 200 dolartas. Qhipaq: 150 dolartas. Pachamama: 75 dolartas. Karqancha: 50 dolartas. Chaski: 25 dolartas. Ayllu: 10 dolartas. Qanchis: 5 dolartas.;;
Response: 150 dólaresta vendeq runatas, 200 dólaresta ganan.;;
Response: 18 dólares, 20 dólares, 25 centavos, 3 boleto manchurqanku. Chantapis mikhunata mikhunata rantiymanchu, $4.50 menosta churarqanku. Chantapis iskay kutillapi puriytatinku, 33 dólares sapa kutillapi. ¿Ima qollqetachus sapa uj payman jaywanman karqa?;;
Response: 40-50 taqrajuyu. Kutchiyu: 20-30 taqrajuyu. Uj tupaq ayamantaqtaq tanratak.;;
Response:  Kutchiy, chakruni, tupaqtiri, k'unkan, k'unkan, k'unkan... (He continues to count);;
Response: 20 sach'akunata tarpun. Sapa wata iskay sachʼasta urqhun. 40 sachʼaswantaj qallarirqa. 10 watamantaqa 30% sach'a wañun. ¿Hayka sachʼa-sachʼañan qhepakun?;;
Response:  Kawsacha tupaq kama llama. Qanchispa:  Pukllaspa, pukllaspa. Yachaywaman:  Mana allin kajta ruwarqa. Chay pʼunchaypi, vecinosqa Suej wasimpi 18 flamencos plástico rosa pʼisqasta churarqanku. Chay flamencosqa, Suej wasimpi qʼala pʼachawan pʼachachasqa kasharqanku. Chaymantataq domingota, 18 flamencos plástico rosawan juntʼachirqanku. Domingo pʼunchaypi, ¿maykʼajllaña pinkʼi plástico flamencosqa karqanku, manachayqa yuraq plástico flamencos?;;
Response: 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;
Response: 40 dólares, tupunaq: 60 dólares. Kutitipi: 5 dólares.;;
Response: 160 libras de carne de cerdo (ch'arki), 80 libras de pescado (pakasa), 40 libras de pollo (t'inki). ¿Cómo se prepara el sapa?;;
Response:  Kuntiru sut'a chaskanchispa. Qhapaq tupac chaskancha. Wamanilluchi kawsachkanchispa.;;
Response: 1-50, 51-100, 101-150, 151-200, 201-250, 251-300, 301-350, 351-400, 401-450, 451-500, 501-550, 551-600, 601-650, 651-700, 701-750, 751-800, 801-850, 851-900, 901-950, 951-1000, 1001-1050, 1051-1100, 1101-1150, 1151-1200, 1201-1250, 1251-1300, 1301-1350, 1351-1400, 1401-1450, 1451-1500, 1501-1550, 1551-1600, 1601-1650, 1651-1700, 1701-1750, 1751-1800, 1801-1850, 1851-1900, 1901-1950, 1951-2000, 2001-2050, 2051-2100, 2101-2150, 2151-2200, 2201-2250, 2251-2300, 2301-2350, 2351-2400, 2401-2450, 2451;;
Response: 23-04-2019, 16:47:48;;
"Response: 2018-03-07 14:39:47

Translation:
""Hello! I am Tapukuy from the city of Baldurqua in Japan. My age is 25 years old and my height is 170 cm. I have been studying Japanese for 5 years and I can speak it fluently. I also know some basic phrases in Quechua. If you want to learn more about me, please let me know. Greetings!""";;
Response: 1000 kullkita semanapi, sapa semana, wata tukuyta, chaskinman chayqa, chay premioqa, wata qallariy p'unchaypi, ¿hayk'a qolqetaq chay wata ruwasqa?;;
Response: 36 hectáreas chakranpi uva tarpuq. Sapa hectárea chakrapi 9 tonelada uva tarikun, sapa tonelada uvawantaq 4 barril vino ruwanku. ¿Hayk'a barril vinotachu chakranpi ruwan?;;
Response: 10-20 t'antata churarqan.;;
Response:  Kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaqanchispa, kamaq;;
"Response: 45, 55, 65, 75, 85, 95.

Translation:
Bertpa: Good morning, class. Today we will solve a problem related to percentages. Let's see if you can answer this question: If a student scored 5 out of 89, 71, 92, 100 and 86 points on five different tests, what is the percentage of points they got right in total? (Note: The numbers are given as kutis, which means ""points"" in Quechua.)

Class: Hmm... let's see... (thinking)...if we calculate the total number of points, it would be... (calculating)...45 + 55 + 65 + 75 + 85 + 95 = 690 points!

Bertpa: That's correct! Well done, class. Now, let's move on to the next topic.";;
Response: 317,84 km.;;
Response: 31 ch'uñu ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch'ulla ch;;
Response: 20-30 minutos.;;
Response:  Chaymantaqa, 6 placasmantaqa 6.000 dólares menos. ¡Ahora tienes un total de $18.000!;;
Response: 30 dólares, tatanku: 20 dólares, saraqa: 5 dolartes, tatanku: 4 dolarte, saraqa: 10 dólares, ¿haykʼaqtaq qʼepiwan, zapatoswan ima mana qollqeyta atinmanchu?;;
