input_sentence_1;input_sentence_2;input_sentence_3;input_sentence_4;sentence_quiz1;sentence_quiz2;answer_right_ending
ངའི་སྲིང་མོ་ནི་དངུལ་གསོག་འཇོག་བྱེད་འདོད་འདུག ;མོ་ནི་ད་ལྟའི་ཡུགས་མོ་ཞིག་ཡིན་པ་དང་གསོ་སྐྱོང་ཁང་ནས་འཚོ་བ་བསྐྱེལ་བཞིན་ཡོད། ;ཉེ་ཆར་མོ་ཡིས་གློག་འཕྲིན་གྱི་སྒྲོམ་གསུམ་ལས་གཉིས་ཕྱིར་ལོག་བཏང་འདུག ;ངས་མོ་ལ་ད་ལྟའི་དྲ་ལམ་གྱི་ཐད་ཀར་ཚད་མཐོའི་ (HD) ཚད་ཡོད་སྟབས་དྲ་ལམ་གྱི་ཐད་ཀར་ཚད་ནི་ལེགས་པོ་འདུག་ཅེས་ལབ་པ་ཡིན། ;མོ་ཡིས་གློག་འཕྲིན་གྱི་དྲ་རྒྱ་མང་པོ་བཉོས་པ་རེད། ;ཁོ་མོས་དེ་ཐོས་པ་ལ་དགའ་པོ་བྱུང་ངོ་། ;2
ཝི་ཀོཊར་ལ་དུས་རྟག་ཏུ་ཟས་རིགས་གསར་པ་ཟད་པར་དགའ་བ་ཞིག་ཡོད། ;ཡིན་ཡང་། ཁོས་པི་སི་ཊི་ཡུ་མ་ཟབ་མྱོང་། ;ཉིན་ཞིག་ཁོང་གིས་ཕིས་ཀྲ་ཤི་ཡའི་ཤིང་ཏོག་ཙེ་ཞིག་ཉོས་ནས་ཁྱིམ་དུ་ཟ་བ་རེད། ;ཁོ་ཚོས་ཟས་པའི་བྲོ་བ་ལ་དགའ་པོ་འདུག ;ཝི་ཅོ་ཊར་གྱིས་པིས་ཏྲ་ཉོ་རྒྱུ་རྒྱུན་ཆད་མེད་པར་ཐག་གཅོད་བྱས་པ། ;Victor གིས་ ཁོང་རང་གི་ sweatshirt གྱོན་ཆས་དེ་ ལུས་རྩལ་ཁང་དུ་བཞག་ཡོད་པའི་ཤེས་རྟོགས་བྱུང་འདུག ;1
ཤ་རོན་གྱི་ནང་དུ་ལོ་མང་པོར་མི་ཤེས་པའི་སོན་རྣམས་བཞག་ཡོད། ;ཉིན་ཞིག་མོ་རང་ས་བོན་འདེབས་རྒྱུ་ཐག་བཅད་སོང་། ;ཤ་རོན་གྱི་ཤིང་སྡོང་རྣམས་ཤིང་སྡོང་ཆུང་ཆུང་ཡིན་པར་ཡིད་ཆེས་ནས་ཤིང་སྡོང་ཆུའི་ནང་བཞག་ཡོད། ;ཤ་རོན་གྱི་བསམ་ཚུལ་འདི་ལས་ལྷག་པའི་རྫུན་གཏམ་གཞན་ཞིག་ཡོད་སྲིད་མེད། ;མོ་གིས་ཁུ་བ་ཞིག་ཁ་ཕྱེ་ནས་འཐུང་བ་རེད། ;འབྲས་བུས་ཤིང་སྡོང་ཆེན་པོ་ཞིག་ཏུ་གྱུར་བ་རེད། ;2
ཕྱི་རུ་གནམ་གཤིས་ལེགས་པོ་འདུག ;ཨེམ་ལི་ཡིས་གནམ་གཤིས་ལེགས་པོ་འདི་ལ་ཕན་ཐོགས་བྱེད་འདོད་འདུག ;མོ་ལྡུམ་ར་དུ་འགྲོ་རྒྱུ་ཐག་བཅད་སོང་། ;ཨེམ་ལི་གྱིས་མོ་རང་གི་སྣུམ་འཁོར་དེ་འགུལ་མི་ཐུབ་པར་ཤེས་པ་ལ་སེམས་ཕམ་བྱུང་། ;མོ་རང་གི་ཁྱིམ་མཚེས་ལ་གློག་ཤུགས་གཏོང་རོགས་ཞུས་པ་རེད། ;མོ་རང་གི་ཤིང་རྟ་ལ་བལྟ་བར་ལས་ཁང་དུ་ཕྱིན་པ་རེད། ;1
ཐོམ་ནི་ཉིན་རེའི་འཚོ་བ་ལ་ཐང་ཆད་འདུག ;དེར་བརྟེན་ཁོ་ནི་གསང་བའི་གནས་སུ་འགྲོ་རྒྱུ་ཐག་བཅད་པ་རེད། ;བདུན་ཕྲག་དང་པོ་ལ་ཁོང་བདེ་པོ་འདུག འོན་ཀྱང་ཆུ་ཡང་མ་འགོར་བར་ཆད་བྱུང་། ;ཉིན་གཉིས་རིང་ལ་ཁོང་རང་ལ་དཀའ་ངལ་བྱུང་ཡང་ཡང་ཡང་ཡང་གང་ཡང་མ་རྙེད་པས། ;ཐོ་མིས་མཐའ་མར་དྲ་ལམ་ལ་ལོག་སོང་། ;ཐོམ་གྱིས་སྨྱུང་གནས་ཀྱི་བསམ་ཚུལ་ལ་དགའ་བསུ་བྱས་པ་ཡིན། ;1
ཐིམ་པིས་སྐར་རྩིས་སློབ་འདོད་འདུག ;ཁོང་ཉིད་ཁོར་ཡུག་ནང་དུ་འགྲོ་འདོད་བྱུང་། ;ཡིན་ནའང་ཁོང་ནི་གནམ་གྲུ་འགྲོ་མཁན་ཞིག་ཏུ་འགྱུར་བའི་ཆེད་དུ་གཞོན་པ་ཞིག་རེད། ;གནས་ཚུལ་དེས་ཁོང་སེམས་སྐྱོ་རུ་བཅུག་པ་རེད། ;ཐིམ་ཕུག་སློབ་གྲྭ་ཆེན་པོའི་ནང་སློབ་སྦྱོང་བྱེད་བཞིན་པའི་སྐབས་སུ། ;ཐིམ་པས་མཱར་སི་ལ་སྡང་བ་རེད། ;1
ངའི་སྲིང་མོ་ནི་སྨན་ཁང་ཞིག་ཏུ་ལས་ཀ་བྱེད་ཀྱི་འདུག ;མོ་ནི་ཞབས་ཞུའི་ལས་བྱའི་ལས་བྱའི་ལས་བྱའི་ལས་བྱའི་ལས་བྱའི་ལས་བྱའི་ལས་བྱའི་ལས་བྱའི་ལས་བྱའི་ལས་བྱའི་ལས་བྱའི་ལས་བྱའི་ ;ཆུང་འདྲིས་ང་ཚོ་ལ་ལྟེ་བ་ནས་བཏང་བའི་ལོ་འཁོར་ཞིག་སྤྲད་བྱུང་། ;འདི་མོ་སི་ཊི་པཱརིག་གི་ཉིན་མོ་ལ་གྱོན་པའི་བརྙན་རེད། ;ང་ཚོ་ཚང་མས་ངའི་སྲིང་མོ་དེ་འདྲ་གྱོན་པ་དགོད་བྲོ་པོ་རེད་བསམ་བྱུང་། ;ངའི་སྲིང་མོ་གིས་ང་ཚོ་ལས་གང་ཞིག་སྦས་བཞིན་ཡོད། ;1
ཕེ་རེཌ་གྱིས་ཨེབ་ལིའི་ཚོང་ཆ་ཉོ་འདོད་བྱུང་། ;ཁོང་ཉོ་སྐབས་ཚོང་གི་གོང་ཚད་ནི་ཌོ་ལར་ ༩༠ ཡིན་པ་རེད། ;ཁ་སང་ཁོ་ཚོས་གླ་དངུལ་འབོར་ཆེན་པོ་ཐོབ་ཡོད། ;དེ་ནས་ཚོང་ཟོག་གི་གོང་ཚད་དངུལ་ཀྲམ་ ༡༠༠ ལ་བབས་པ་རེད། ;ཕེ་རེཌ་ཀྱིས་ཚོང་ཉོས་པར་འགྱོད་སེམས་བྱུང་། ;ཕེ་རེད་ནི་དགའ་པོ་བྱུང་། ;2
ཡེན་གྱིས་རྫོང་ཁག་གི་ཡིག་འབྲུ་འགྲན་བསྡུར་ལ་གྲ་སྒྲིག་བྱེད་སྟངས་ལ་ཡིད་ཆེས་ཆེན་པོ་བྱེད་ཀྱི་འདུག ;མོ་གིས་ཕྱི་ཟླ་མཇུག་གི་ཉིན་མོ་རེ་རེར་དགོང་དྲོ་ཚིག་མཛོད་དེ་ཞིབ་འཇུག་བྱས་པ་ཡིན། ;སྦྲང་འབུ་རྣམས་ཐོན་སྐབས་ཇེན་ནི་གསོན་པོར་གནས་ཤིང་། གཞན་རྣམས་ཤི་བར་གྱུར་པ་རེད། ;མཐའ་མའི་འགྲན་བསྡུར་ཐེངས་གཉིས་པ་མཇུག་བསྡོམས་ཏེ་ ཇེན་གྱི་འགྲན་སྡུར་པ་གིས་ནོར་འཁྲུལ་བྱས་འདུག ;Jen གྱིས་ཡི་གེའི་འགྲན་བསྡུར་ལ་རྒྱལ་ཁ་ཐོབ་སོང་། ;Jen ལ་ཡིག་འབྲུ་འགྲན་བསྡུར་ལས་འཐུས་ཤོར་སོང་། ;1
ཀེལ་ལི་ནི་ལོ་མང་པོར་ཁང་པ་ནས་ཐོན་མ་མྱོང་བ་རེད། ;དེ་རིང་ངས་མོ་ལ་འཚམས་འདྲི་ཞུ་བར་ཕྱིན་པ་ཡིན། ;ཁོ་མོ་ང་ལ་ནང་དུ་འཛུལ་བར་འགོག་པ་ངས་ཤེས་བྱུང་། ;ཁོ་མོས་ཇི་ལྟར་བྱེད་བཞིན་པ་སྐོར་ང་ཚོས་ཡུན་རིང་གླེང་མོལ་བྱས་པ་ཡིན། ;ཀེལ་ལིས་མགྲོན་པོ་རྣམས་དགའ་པོ་ཡོད། ;ཀེལ་ལི་ནི་ཨ་གྷོ་རཱ་ཕི་སི་ ( agoraphobia) ཡིན། ;2
ཨེ་མི་ལི་ནི་མཚོ་འགྲམ་དེར་བསྡད་ཡོད་པ་རེད། ;གནམ་གཤིས་བདེ་འཇགས་ཐོག་མར་བྱུང་བ། ;དེ་མ་ཐག་རླུང་ཤུགས་ཆེན་པོ་ཞིག་འཕུར་པ་རེད། ;ཨ་ན་ནཱ་ནི་འཇིགས་སུ་རུང་བའི་བྱེ་མ་རླུང་འཚུབ་ནང་དུ་ཚུད་སོང་བ་རེད། ;མོ་རྒྱ་མཚོའི་འགྲམ་ལ་དུས་ཡུན་ཡག་པོ་ཞིག་བསྐྱལ་ཡོད། ;སྐལ་བཟང་ཁོ་མོ་བདེ་བར་མཚོ་འགྲམ་གྱི་ཁང་ཁྱིམ་དུ་ཕྱིར་ལོག་ཐུབ་པ་རེད། ;2
ཨེན་ཌྲུ་ནི་དཀའ་ངལ་གང་ཞིག་གི་ནང་ཚུད་པ་རྩ་བ་ནས་མ་མྱོང་བ་རེད། ;ཁོང་རང་གི་ཕ་མ་གཉིས་ནི་བདུན་ཕྲག་འདིར་གྲོང་ཁྱེར་ནས་ཐོན་པ་རེད། ;ཨེན་ཌྲུ་ཡི་གྲོགས་པོ་རྣམས་ཡོང་ནས་འཐུང་འདོད་འདུག ;དེ་ནས་ཨན་ཌུ་ཡིས་ཕ་མ་གཉིས་ནས་སྦས་པའི་ཆང་གི་བུམ་པ་བླངས་སོ། ;ཨེན་ཌྲུ་ལ་ཕ་མ་གཉིས་ཆང་འཐུང་འདོད་འདུག ;ཁོང་ཚོས་ཆང་འཐུང་ནས་ར་བཟི་སོང་། ;2
ཨེ་ལེ་ནི་ཡུལ་ནང་སྡོད་ཀྱི་ཡོད། ;མོ་ལ་ཉིན་དག་གློག་མེ་མེད་པའི་ཉིན་མོ་དག་ལ་ཡིད་སྨོན་འདུག ;ཉིན་ཞིག་གནམ་གཤིས་ཀྱི་རླུང་འཚུབ་ཀྱིས་མོ་ཡི་གྲོང་ཁྱེར་ནང་གློག་མེ་མེད་པར་བཟོས་པ་རེད། ;མོ་ལ་གྲང་བ་ཧ་ཅང་ཆེན་པོ་བྱུང་། ;མོ་ལ་གློག་མེ་ཡོང་དུས་དགའ་པོ་བྱུང་། ;ཨེ་ལེ་ནེར་བདེ་སྐྱིད་ཆེན་པོ་བྱུང་ངོ་། ;1
ཧོ་ཟེ་ནི་དགའ་པོ་བྱུང་། ;ཁོང་ལ་གློག་ཀླད་གསར་པ་ཞིག་ཐོབ་ཡོད་ཅིང་། གློག་ཀླད་དེ་བེད་སྤྱོད་བྱེད་འདོད་འདུག ;ཁོ་ནི་དེ་ཉིད་དལ་འབྱོར་དུ་བསྐྱལ་བ་རེད། ;ཉིན་གང་རྩེད་ཐང་དུ་རྩེད་སྐྱོད་བྱས། ;ཧོ་ཟེ་ནི་སི་ཊི་པར་ཀན་ (Skatepark) དུ་དགའ་སྤྲོ་ཆེན་པོ་བྱས་པ་ཡིན། ;ཧོ་ཟེ་ཡིས་རང་གི་སེཀཊ་བོ་ཌི་འཕངས་སོང་། ;1
མའི་ཀེག་ནི་རང་གི་ཡིག་སྒོའི་འགྲམ་དུ་བསྡད་ཡོད་འདུག ;འོན་ཀྱང་གློ་བུར་དུ་ཁོང་གི་ལག་པར་ཧམ་ནད་ཀྱི་ཚོར་བ་བྱུང་འདུག ;ཁོང་རང་གི་རྐང་པ་ཡང་ཚིགས་སུ་ཟུག་པ་བྱུང་བའི་ཚོར་བ་བྱུང་ངོ་། ;དེ་ནས་ཁོང་གི་ཞལ་རས་ ;ཊ་མི་ཀི་ལ་གློག་འགུགས་བྱུང་འདུག ;ཊ་མིས་ཧི་སི་ཏིར་སྐད་ཆེན་པོ་རྒྱབ་པ་རེད། ;1
ཟླ་བ་སྔོན་ལ་ཇིལ་གྱིས་འགྲུལ་བཞུད་ཞིག་བྱས་འདུག ;མོ་ནི་བྷོ་སི་ཊོན་ནས་སི་ཡ་ཊལ་དུ་འགྲོ་འདོད་འདུག ;རྒྱུགས་ལེན་པའི་ལམ་ཕྱེད་ཀ་ཙམ་ལ་མོ་རང་གི་ཤིང་རྟ་འཁོར་ལོས་སྐྱོན་ཤོར་སོང་། ;མོ་ལམ་གྱི་ཟུར་དུ་ཆུ་ཚོད་མང་པོར་བསྡད་ནས་ AAA ཆེད་སྒུག་བསྡད་ཡོད། ;ཁོང་ཚོ་མྱུར་དུ་སླེབས་པར་ཇིལ་ལ་དགའ་པོ་བྱུང་ངོ་། ;ཁོང་ཚོས་མོ་གི་ཤིང་རྟ་འདི་སོས་ཏེ་མོ་རང་གི་ལམ་དུ་བཏང་བ་རེད། ;2
དབུ་འཛིན་གྱིས་དེ་ཉིན་གཟའ་སྤེན་པའི་ཉིན་སློབ་གྲྭའི་ཚོགས་ཆེན་ཞིག་བྱ་རྒྱུ་ཡིན་ཞེས་གསལ་བསྒྲགས་བྱས་འདུག ;མིར་ཡམ་ནི་ཞབས་བྲོ་ལ་དགའ་པོ་བྱུང་། ;མོ་ལ་ཌན་གྱིས་སློབ་གྲྭའི་ཞབས་བྲོ་ལ་གདན་ཞུ་བྱེད་འདོད་འདུག ;དཱན་གྱིས་མེ་རི་ལམ་དུ་མཐོང་ནས་ཁོ་མོ་དང་གཏམ་གླེང་དགོས་ཅེས་བཤད་བྱུང་། ;ཁོ་མོའི་དུག་འཁོར་རྐུ་བའི་ཉེས་སྐྱོན་དེ་མོ་ལ་ཕོག་པ་ཡིན། ;ཁོ་མོས་མོ་ལ་ཞབས་བྲོ་ལ་གདན་ཞུ་བྱས་པར་དགའ་པོ་བྱུང་ཡོད། ;2
ནིའུ་ཡོག་ཏུ་སྨན་རྫས་ཀྱི་ཚོང་ཁང་གསར་པ་ཞིག་སྒོ་འབྱེད་བྱས་ཡོད་དེ། ངས་དེ་ལྟ་ཞིབ་བྱས་པ་ཡིན། ;ངས་དེ་སྔ་ནམ་ཡང་མ་འགྲོ་བཞིན་པས་འགྲན་རྩལ་ལ་བརྩོན་རྒྱུར་ཧ་ཅང་དགའ་པོ་བྱུང་། ;ངས་ནང་དུ་འཛུལ་སྐབས་ཁོ་ཚོས་དཀར་ཆག་དང་སྐྱུ་རུའི་རིགས་ལ་ཉམས་ཚོད་བྱེད་རྒྱུ་ཧ་ཅང་ཡག་པོ་འདུག ;ངས་དབྱར་ཁའི་སལ་ཏ་དང་ཀོ་ཀོསི་ཆུ་འཐུང་གི་ཡོད། ;ངས་སླར་ཡང་ཟ་ཁང་དེར་འགྲོ་མི་འདོད་ཅེས་ཐག་བཅད་པ་ཡིན། ;འདི་ནི་ངའི་གསར་པའི་དགའ་བའི་ཟ་ཁང་ཞིག་རེད། ;2
སི་ཌི་ཡི་ཁང་མིག་གི་རྩིག་པ་དཀར་པོ་རེད། ;འོན་ཀྱང་མོ་ཡིས་འོད་གསལ་ཧ་ཅང་གསལ་པོ་འགོག་པར་སྐྱོན་བརྗོད་བྱས་འདུག ;དེར་བརྟེན་མོས་ཁང་པའི་རྩིག་པར་དཀར་པོ་སྔོན་པོ་བྱུགས་པར་ཐག་བཅད་པ་རེད། ;མོ་རང་གི་ཁང་མིག་དེ་ཞི་བའི་ཁང་མིག་ཞིག་རེད་བསམ་བྱུང་། ;མོ་དེ་ལ་མི་དགའ་བས་རི་མོ་ནག་པོ་ལ་བསྒྱུར་བ་རེད། ;གྲུབ་འབྲས་ལ་མོས་དགའ་པོ་བྱུང་། ;2
ངས་ལོ་འདིའི་ནང་ཐོག་མར་བསམ་བློའི་རྐང་རྩེད་འགྲན་བསྡུར་ཞིག་ནང་ཞུགས་པ་ཡིན། ;ངས་ངའི་གྲོགས་པོའི་ཚོགས་ཁག་ལ་ཞུགས་པ་ཡིན། གང་ལགས་ཟེར་ན། ཁོང་ཚོར་མི་ཞིག་ལྷག་མ་ཞིག་དགོས་ཀྱི་ཡོད་པས་ཡིན། ;ངས་རང་གི་མི་ཚེ་ནང་དེ་འདྲ་ནམ་ཡང་རྩེད་མྱོང་མེད། ;ངས་གོ་རིམ་དང་པོའི་ནང་ཞུགས་པ་ཡིན། ;ངས་ཧ་ཅང་དགའ་པོ་བྱུང་། ;ངས་བློ་ཕམ་ཆེན་པོ་བྱུང་ངོ་། ;1
ཧེ་ལེ་ནི་སྔ་དྲོ་ལས་ཀ་ལ་ཡར་ལངས་པ་རེད། ;ཕྱི་དྲོ་གནམ་ཁ་འབབ་པས་མོ་རང་གི་ཤིང་རྟ་ལ་ཕུར་པ་རྒྱབ་དགོས་བྱུང་འདུག ;མོ་ལ་གངས་གཙང་བར་ཆུ་ཚོད་གཅིག་འགོར་སོང་། ;མོ་རང་ཁྱིམ་དུ་ལོག་ནས་གྲ་སྒྲིག་བྱེད་སྐབས། ;མོ་ལ་ཆུ་ལེན་ཁང་གི་ཆུ་རྒྱུན་ཁ་ཕྱེས་བཞག་འདུག ;ཧེ་ལེ་ནི་མཚོ་ལ་ཆུ་གློག་གི་གྲུ་གཟིངས་གླར་ལེན་པར་ཕྱིན་པ་རེད། ;1
རྒྱལ་ཡོངས་རྩེད་འགྲན་པའི་རྗེས་སུ། གསར་འགོད་པས་རྩེད་འགྲན་པ་ཚོ་དང་གཏམ་གླེང་བྱས་པ། ;དཱན་གྱིས་འདི་ནི་ཐད་ཀར་གྱི་གནས་ཚུལ་ཡིན་ནམ་ཡང་ན་གློག་བརྙན་ཐོག་ནས་ཡིན་པ་དྲིས་པས། ;གནས་ཚུལ་རྩོམ་པ་པོ་དེས་ཁོ་ལ་འདི་ནི་གློག་བརྙན་ཐད་ཀར་གཏོང་གི་ཡོད་པ་བཤད་བྱུང་། ;དཱན་གྱིས་གློག་བརྙན་པར་བཤད་དོན། ཁོང་རང་གི་ཕ་ནི་ཁོང་གི་སེམས་ཤུགས་ཡིན། ;དཱན་གྱིས་རང་གི་ཕ་ལ་གུས་ཞབས་བྱེད་པ་ཡིན། ;དཱན་ནི་ཕ་འདིའི་ངོ་ཚ་རེད། ;1
Jeremy ལ་རང་གཤིས་ཁྱད་དུ་འཕགས་པ་དང་ཤུགས་ལྡན་པ་ཞིག་ཡོད། ;ཁོང་རང་གི་ལས་ཀ་ལ་དཀའ་ངལ་བྱུང་ནས་གློད་གྲོལ་བཏང་འདུག ;ཁོང་རང་གི་ལས་འཛིན་པ་དང་ལས་གྲོགས་རྣམས་ལ་ཚིག་ངན་འགའ་ཞིག་སྨྲས་པ་རེད། ;དེ་ནས་བཟུང་། ཁོ་ལ་ལས་ཀ་རྙེད་རྒྱུ་དཀའ་བ་བྱུང་འདུག ;Jeremy ལ་ལས་ཀ་བྱེད་སྟངས་ལ་དཀའ་ངལ་ཡོད། ;Jeremy ཀྱི་སྤྱོད་ཚུལ་ནི་ལས་ཀ་བྱེད་སྟངས་ལ་ཆ་མཐུན་པ་རེད། ;1
ཕར་ནིས་མཚོ་འགྲམ་ནས་ཁང་པ་ཉོས་ཡོད། ;ཉིན་རེར་མོའི་ལྡུམ་རའི་ནང་ཡོད་པའི་འབུ་སྲིན་རྣམས་ལས་བརྒལ་བ་ལ་གླག་རྣམས་ཟས་ཀྱི་འདུག ;ཉིན་ཞིག་བོང་བུ་རྣམས་ཡོང་རྒྱུ་མཚམས་བཞག་ཀྱང་ ;ཟླ་བ་ཁ་ཤས་ཕྱིན་ཀྱང་གློག་རྒྱུན་མ་བྱུང་། ;ད་ལྟའི་ཆར་ཕརན་གྱི་ལྡུམ་ར་ནང་འབུ་སྲིན་མང་པོ་འདུག ;ཕར་ནིས་མེ་ཏོག་སྒྲིག་བཞིན་པའི་སྐབས་སེམས་ནད་དྲག་པོ་ཞིག་ཕོག་སྟེ་ཤི་བ་རེད། ;1
དེ་རིང་ང་ཚོའི་སྡེ་ཚན་གྱིས་རྐང་རྩེད་རྩེད་འགྲན་བསྡུར་ཞིག་བྱས་ཡོད། ;ང་ཚོ་ཚང་མ་རྒྱལ་བར་དགའ་པོ་བྱུང་། ;ང་ཚོས་རྩེད་ཐང་དུ་སོང་ནས་རྩེད་འགྲན་སྔོན་དུ་སྦྱོང་བརྡར་བྱས་པ་ཡིན། ;ང་ཚོའི་སྡེ་ཚན་གཅིག་སྒྲིལ་དང་མཉམ་དུ་ལས་ཀ་བྱས་པ་ཡིན། ;ང་ཚོའི་སྡེ་ཚན་གྱིས་རང་གི་རྩེད་འགྲན་ལ་ངོ་ཚ་བྱུང་། ;ང་ཚོའི་སྡེ་ཚན་ལ་དགའ་ཚོར་ཆེན་པོ་བྱུང་ཡོད། ;2
ཀེལ་ལིས་རྩིས་ཀྱི་སློབ་ཚན་ལ་མི་དགའ་ཞིང་། ཐུན་མོང་གི་ཤེས་ཡོན་སྦྱང་རྒྱུར་དཀའ་ལས་རྒྱབ་ཀྱི་འདུག ;མོ་ལས་ཀ་འདི་ལ་དཀའ་ངལ་མང་པོ་བྱུང་ནས་ མང་ཤོས་ར་དགེ་རྒན་དག་གི་རོགས་རམ་ལེན་པ་རེད། ;མོ་ལ་སློབ་སྦྱོང་ཡག་པོ་ཐོབ་པའི་འབྲས་བུ་ཐོབ་ཡོད། ;མོ་དགུན་ནུའི་སྐབས་སློབ་གྲྭ་དུ་འཛུལ་གྱི་རེད། ;མོ་སློབ་གྲྭ་ནས་ཐོན་པ་རེད། ;ཀེལ་ལིས་མཐོ་རིམ་སློབ་གྲྭ་ལེགས་པར་གྲུབ་སོང་། ;2
སོ་ཕི་ཡི་ཨ་མ་ནི་ནད་ཡམས་དྲག་པོ་ཞིག་གིས་མནར་བཞིན་ཡོད། ;སོ་ཕི་ཡིས་མོ་ལ་སྨན་ཁང་དུ་ཕེབས་ཏེ་ཁ་བྲལ་ཞུས་པ་རེད། ;ཨ་མས་སའོ་ཕི་ལ་གསེར་གྱི་རྒྱན་ཆ་རིན་ཐང་ཆེན་པོ་ཞིག་སྤྲད། ;མོས་སོ་ཕི་ཡ་ལ་འདི་མོ་དྲན་པའི་ཕྱིར་བཞག་ཅེས་ལབ་པ་རེད། ;སོ་ཕི་ཡིས་ངུ་བ་རེད། ;སོ་ཕི་ཡིས་མོ་ལ་གད་མོ་གད་བྱུང་། ;1
དེ་རིང་ཀེ་ལིས་ལས་ཀའི་སྐད་ཆ་འདྲི་རྩད་གསར་པ་ཞིག་བྱས་འདུག ;མོ་ནི་ཆུ་ཚོད་ ༡༠ ནང་རང་སྒྲིབ་ནས་ཁང་མིག་ནས་ཕྱིར་ཐོན་པ་རེད། ;ཁོང་དེར་སླེབས་ནས་བུད་མེད་དང་ཐུག་འཕྲད་བྱས་སྐབས། བུད་མེད་དེས་དྲི་བ་དག་ལ་ལན་འདེབས་བྱས་པ་ཡིན། ;བགྲོ་གླེང་མཇུག་བསྡུ་རྗེས། ཁོ་ཚོས་མོ་ལ་ལན་གཏོང་གི་ཡིན་ཞེས་ལབ་པ་རེད། ;ཀེལ་ལིས་མྱུར་དུ་འབོད་སྒྲ་ཞིག་ལེན་པར་རེ་བ་ཡོད། ;ཀེལ་ལིས་མོ་ལ་ཁ་པར་གཏོང་མི་འདོད་ཅེས་རེ་བ་བྱས་འདུག ;1
ཌོན་གྱིས་སྦྲང་འབུ་ཞིག་ཁང་པའི་ནང་དུ་སོང་བ་མཐོང་བྱུང་། ;ཁོ་ལ་རྡུང་རྡེག་བྱེད་རྒྱུ་ཐག་བཅད་པ་རེད། ;ཁོང་གིས་ཆུ་ཚོད་ཕྱེད་ཙམ་ལ་ཚོད་ལྟ་བྱས་ཀྱང་ རྒྱུན་ཆད་མེད་པར་བཀག་ཐུབ་ཀྱི་འདུག ;སྦྲང་མ་དེས་རང་ཐག་རང་འཐེན་ནས་འཕུར་སོང་། ;ཌོན་གྱིས་སྒོ་བརྒྱབ་ནས་འཕུར་སོང་། ;ཌོན་ནི་སླར་ཡང་མཚོ་ལ་ཕྱིན་པ་མ་རེད། ;1
ཛ་ཀཱི་དང་ཁོའི་གྲོགས་པོ་རྣམས་སློབ་གྲྭའི་ལམ་དུ་འགྲོ་སྐབས་འཇིགས་སྣང་ཅན་གྱི་ཁང་པ་ཞིག་བརྒྱུད་ནས་ཕྱིན་པ་རེད། ;ཉིན་ཞིག་ཁོང་ཚོས་ནང་དུ་འགྲོ་རྒྱུ་ཐག་བཅད་པ་རེད། ;ཛ་ཀཱ་དང་ཁོང་གི་གྲོགས་པོ་རྣམས་ཁང་མིག་རེ་རེར་འཛུལ་སོང་། ;ཁང་པ་དེ་རྙིང་ཞིང་མི་ཁོམ་པ་རེད། ;ཁོང་ཚོས་དེར་རྩེད་ཐང་རྩེད་རྒྱུའི་ཐག་བཅད་པ་རེད། ;ཁོང་གཉིས་སློབ་གྲྭར་སོང་ནས་སོང་ངོ་། ;2
མའི་ཨ་ཁ་སང་ཀ་ཤི་ནོ་ (Casino) ལ་སོང་སོང་། ;མོ་ནི་མཚན་མོ་དེ་ནས་ཕོག་རར་རྩེད་བཞིན་འགོ་ཚུགས་པ་རེད། ;མོས་དངུལ་གྱི་རིན་ཐང་ཆེན་པོ་ཤོར་བའི་རྗེས་སུ། མོས་གོ་ཁྲབ་རྩེད་འགྲན་བྱས་པ་ཡིན། ;མོ་ལ་དངུལ་ལྷག་མ་ཙམ་ཡོད་ཀྱང་ལུག་ཁྱུ་གིས་རིལ་བུར་བརྒྱབ་འདུག ;མའི་ཡ་ལ་རིན་ཆེན་དངུལ་ཐོབ་སོང་། ;མའི་ཡ་ལ་དངུལ་ལྷག་ཙམ་ཡང་ཤོར་སོང་། ;1
ཕོར་སི་ཡ་ནི་མོ་རང་གི་ཁྱིམ་གྱི་ཉེ་འགྲམ་གྱི་ཤིང་ནགས་སུ་འཁྱམས་པར་དགའ། ;ཡིན་ཡང་། ཁོ་མོའི་རྐང་རྗེན་པོ་རྣམས་འདམ་པོ་ཆགས་ཏེ་ཞེན་ལོག་ཏུ་གྱུར་པ་མཐོང་། ;མོ་ཡིས་རི་བོར་འགྲོ་རྒྱུར་ལྷམ་ཆ་གཅིག་ཉོས་པར་ཐག་བཅད། ;ཕོར་སི་ཡ་ལ་སྟབས་བདེ་བ་དང་རིན་ཐང་ཆེ་བའི་གོས་མ་རྙེད་དོ། ;མོ་རང་གི་གདམ་ཁ་ལ་དགའ་པོ་ཡོད། ;མོ་ཡིས་ལྷམ་དེ་གཉིས་དོར་མ་ཚོང་ཁང་དུ་ཕུལ་བ་རེད། ;1
