"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
No";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
No";
"  
No";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
No";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
No";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
नहीं";
"  
नहीं";
"  
Yes";
"  
नहीं";
"  
No";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
"  
Yes";
